Place,Latitude,Longitude
Palam Vihar,28.5115274,77.0420264
Shastri Nagar,28.6700885,77.1818589
Khandsa,28.4533282,77.0195396
Central Secretariat,28.6158794,77.2122822
Ghitorni Village,28.4931214,77.1424868
AIIMS,28.5668602,77.2078058
Vaishali,28.6407652,77.0676646
Mayur Vihar,28.6098555,77.2926318
Noida Sector 62,28.617251,77.2805705
Rohini,28.7162092,77.1170743
Udyog Bhawan,28.6095136,77.211796
Vidhan Sabha,28.6863222,77.2217271
Patel Chowk,28.6229664,77.214031
Malviya Nagar,28.5339201,77.2124474
Madipur,28.6764752,77.1193599
Jama Masjid,28.6506822,77.232961
IGI Airport,28.5564626,77.0866995
Vinobapuri,28.565871,77.2492973
Kashmere Gate,28.666553,77.22903
Pitampura,28.7032676,77.1322497
Punjabi Bagh,28.672995,77.1461239
Greater Noida,28.5446563,77.3386401
Tis Hazari,28.6671626,77.2166306
Noida Sector 18,28.617251,77.2805705
Kanhaiya Nagar,28.6824082,77.1647754
Okhla,28.5636616,77.2890546
Cyber Hub,28.4951011,77.0885127
Sadar Bazar Gurgaon,28.4608629,77.0292838
Shastri Park,28.6684339,77.2505301
Faridabad Sector 15,28.5009826,77.3155004
Qutub Minar,28.524413,77.1854501
Mundka,28.6824341,77.0305741
DLF City Court,28.4956927,77.0912123
New Colony,28.5671008,77.2697643
Nirman Vihar,28.6364592,77.2868145
New Delhi Railway Station,28.6402816,77.2204103
Civil Lines Gurgaon,28.4616851,77.0339023
Seelampur,28.6698165,77.2668137
Noida Extension,28.5960689,77.4379542
Adarsh Nagar,28.7165805,77.1704223
Panipat,28.587166,77.2588367
Karol Bagh,28.6529982,77.1890227
Sultanpur,28.4991235,77.1613745
Moti Nagar,28.657859,77.1424288
Dilshad Garden,28.6758864,77.321446
Aya Nagar,28.4764911,77.1329132
Rajiv Chowk,28.6314022,77.2193791
MG Road,28.4915171,77.1433
Jasola,28.5427353,77.2913342
Ardee City,28.4410412,77.0792079
Meerut,28.5982777,77.2565034
Anand Vihar ISBT,28.6467533,77.3180037
Lajpat Nagar,28.5660924,77.2432851
Tughlakabad,28.5025432,77.2993825
Karkarduma,28.6483176,77.3055178
Dwarka Mor,28.61931,77.0332792
Anand Vihar,28.6466157,77.3155317
Uttam Nagar,28.6215226,77.0611064
Model Town,28.707334,77.1885231
Mandi House,28.6255149,77.2341926
Ghitorni,28.4931214,77.1424868
Rajiv Nagar,28.7440549,77.1624222
Sohna Road,28.3999391,77.045265
Bahadurgarh,28.6602024,77.2148037
Moolchand,28.5644044,77.2342555
INA Market,28.5741862,77.2102033
Sushant Lok,28.4704308,77.0798072
IIT Delhi,28.5449971,77.1891506
Satguru Ram Singh Marg,28.6121218,77.1042887
Munirka,28.554886,77.1710841
IGNOU Road,28.4970584,77.1999699
Akshardham,28.6125167,77.2773184
Chhatarpur,28.5067242,77.1750019
IMT Manesar,28.3671851,76.920669
Azadpur,28.7057821,77.1819488
Jhilmil,28.6757197,77.3123949
Sikanderpur,28.4812716,77.0930017
Rohini West,28.7149569,77.115385
Kashmere Gate ISBT,28.6686963,77.2304228
Kherki Daula Toll,,
IFFCO Chowk,28.47919,77.0704879
Hauz Rani,28.5291809,77.2117586
Sarai Kale Khan,28.5891891,77.2580654
Vishwavidyalaya,28.689163,77.2151762
Maidan Garhi,28.4987734,77.1944475
Yamuna Bank,28.6232554,77.2678697
Khan Market,28.5995141,77.2259785
Pragati Maidan,28.6172378,77.2434616
Mansarovar Park,28.675385,77.3008678
Rithala,28.7208064,77.1071813
Saidulajab,28.5204237,77.2022859
Nawada,28.6202758,77.0450787
Shahdara,28.6758661,77.2985078
Tilak Nagar,28.6365265,77.096482
DLF Phase 3,28.6138954,77.2090057
Laxmi Nagar,28.6305974,77.277523
Huda City Centre,28.4593429,77.0726571
Mehrauli,28.5218262,77.1783232
Botanical Garden,28.5640067,77.3340125
Ramesh Nagar,28.6527444,77.1316496
Dwarka Sector 21,28.5519218,77.0585605
Noida Film City,28.5628133,77.316257
India Gate,28.6129332,77.2294928
Barakhamba Road,28.6300438,77.2243649
Gurgaon Sector 56,28.5338779,77.0899285
Ashram,28.5724231,77.2585979
Gurgaon Sector 29,28.5337309,77.089943
Jor Bagh,28.5865094,77.2125273
Saket,28.521168,77.2022237
Basai Dhankot,28.4645841,76.9828171
Udyog Vihar Phase 4,28.6822073,77.0884362
Raj Nagar Extension,28.573564,77.2170765
Lok Kalyan Marg,28.5973513,77.2110967
Greater Kailash,28.5419077,77.2384925
Sarojini Nagar,28.575817,77.1980786
GTB Nagar,28.6981333,77.2063998
